Year,Employee_Group,BlockHrs_per_Emp_Month,ASMs_per_Emp_000,Employee_Count,PaxRev_per_Emp_000,Avg_Salary,Pax_per_Employee,Era
2016,Pilots_CoPilots,41.90135746606335,16614.1912959276,1105.0,981.1812669683259,151024.778280543,40360.10226244344,ULCC Pivot
2017,Pilots_CoPilots,43.81072241183163,18681.953063139932,1172.0,976.7544197952218,144333.86518771332,43003.33105802048,ULCC Pivot
2018,Pilots_CoPilots,42.89795918367347,18476.151975812547,1323.0,909.3920710506425,212074.2328042328,44065.4149659864,ULCC Pivot
2019,Pilots_CoPilots,42.647831800262814,18465.12199605782,1522.0,897.2887122207621,186440.8409986859,44718.34494086728,ULCC Pivot
2020,Pilots_CoPilots,24.864517488411295,10711.888326169405,1582.0,399.9314222503161,180650.37294563843,21245.230088495577,COVID Impact
1995,Flight_Attendants,31.01044799404696,6288.543859649123,114.0,470.40280701754386,30583.333333333332,5363.605263157895,Startup & Growth
1996,Flight_Attendants,24.867730837373404,5032.738461538462,260.0,404.47350000000006,23753.96153846154,4936.069230769231,Startup & Growth
1997,Flight_Attendants,69.87522039174279,14368.404761904761,126.0,1036.677619047619,65198.57142857143,10143.86507936508,Startup & Growth
1998,Flight_Attendants,74.51461660323828,15869.357664233576,137.0,1330.4712408759124,-0.07299270074479758,11167.700729927008,Startup & Growth
1999,Flight_Attendants,97.90336967104615,21433.91139240506,158.0,1856.1137974683543,-0.06329113923037524,13772.303797468354,Startup & Growth
2000,Flight_Attendants,121.519175497457,26923.486666666668,150.0,2886.6286,-966.9999999999951,19285.28,Startup & Growth
2001,Flight_Attendants,52.845606963934216,12096.082687338501,387.0,1107.5422739018088,-5184.341085271328,7746.687338501292,Startup & Growth
2002,Flight_Attendants,49.25631533688684,10122.3446484375,512.0,867.1351367187499,-5561.64062500001,7300.142578125,Startup & Growth
2003,Flight_Attendants,50.705227957355014,11568.600868600683,586.0,952.487918088737,-6475.136518771332,8653.861774744028,Startup & Growth
2004,Flight_Attendants,52.42507004561892,11296.515450722734,761.0,882.9652036793693,10168.63337713536,8459.817345597898,Expansion & Crisis
2005,Flight_Attendants,45.32839145937197,10331.131649438203,890.0,906.083808988764,24189.382022471924,8258.137078651685,Expansion & Crisis
2006,Flight_Attendants,53.48109642574369,12005.365745995423,874.0,1089.306109839817,28256.35011441648,10222.479405034324,Expansion & Crisis
2007,Flight_Attendants,56.055374936169905,12585.10663,1000.0,1112.2898500000001,29272.64999999998,10400.172,Expansion & Crisis
2008,Flight_Attendants,96.44974707131308,13243.456458515284,916.0,1312.9632205240175,31216.877729257645,11616.525109170305,Expansion & Crisis
2009,Flight_Attendants,54.17753869964648,11928.929771751413,885.0,1043.5778983050848,29400.169491525423,10630.737853107345,Expansion & Crisis
2010,Flight_Attendants,31.251334701913237,7132.392347994826,1546.0,702.0054527813714,18270.18758085381,17953.115782664943,Restructuring
2011,Flight_Attendants,32.45145166908723,7399.345879052369,1604.0,911.4809663341646,19104.62593516208,19865.942019950126,Restructuring
2012,Flight_Attendants,34.78024843884711,7997.711177971793,1489.0,784.8059570181329,19650.59100067159,21562.031564808596,Restructuring
2013,Flight_Attendants,43.96853645094439,9932.964493601461,1094.0,1040.6413345521025,28233.190127970764,29267.248628884827,Restructuring
2014,Flight_Attendants,51.95586067484877,11642.604111420613,1077.0,1174.4136118848653,20709.7400185701,33899.79944289693,Restructuring
