Year,Region,PaxRevenue_000,TotalRevenue_000,RPM,ASM,ACOpExpense_000,LoadFactor_Pct,Yield_cents,RASM_cents,CASM_cents,Era
2006,Total,952053.54,1131705.28,8360277319.0,10492689662.0,657402.7999999999,0.796771617984407,11.38782248091596,9.073493743438611,6.265341120121274,Expansion & Crisis
2007,Total,1112289.85,1334363.9100000001,9893004732.0,12585106630.0,756352.3200000001,0.786088272658521,11.243195370180887,8.838144027707774,6.0098999733306195,Expansion & Crisis
2008,Total,1202674.31,1370900.0,9933306038.0,12131006116.0,928764.99,0.8188361248040772,12.107492766246732,9.914052457806873,7.656124983524821,Expansion & Crisis
2009,Total,923566.4400000001,1113397.1099999999,8561588114.0,10557102848.0,547229.81,0.8109789434912967,10.787326226191311,8.748294426012587,5.183522580758702,Expansion & Crisis
2010,Total,1085300.4300000002,1316948.8000000003,9214972300.0,11026678570.0,633635.7999999999,0.8356979158774916,11.777576694397661,9.842496297595444,5.7463885972328645,Restructuring
2011,Total,1462015.47,1661913.75,10332489556.0,11868550790.0,854754.0700000001,0.8705771866187548,14.1496922118931,12.318399237351201,7.2018402678125115,Restructuring
2012,Total,1168576.07,1433465.5099999998,10586388001.0,11908591944.0,846760.9500000001,0.8889705895358875,11.038477617574712,9.81288195527409,7.1105043650994375,Restructuring
2013,Total,1138461.6199999999,1348551.4800000002,9857875012.0,10866663156.0,816540.5900000001,0.9071667052233049,11.548752835820595,10.476644059509669,7.514179636176073,Restructuring
2014,Total,1264843.4600000002,1574869.29,11153738961.0,12539084628.0,896744.89,0.8895177990978306,11.340084830948916,10.087207300408373,7.151597717089752,Restructuring
2015,Total,1194436.72,1604012.26,13395144551.0,15495494516.0,858838.5399999999,0.8644541506673913,8.916937890833216,7.708283970974108,5.542504881746104,ULCC Pivot
2016,Total,1084205.3,1713577.38,16009458178.0,18358681382.0,903125.3300000001,0.8720374761608246,6.772279785770024,5.905681772237862,4.919336586370961,ULCC Pivot
2017,Total,1144756.18,1914740.19,18909375570.0,21895248990.0,1080804.6300000001,0.8636291635064891,6.053907892210742,5.228331408895296,4.93625183478674,ULCC Pivot
2018,Total,1203125.71,2155857.86,20875202333.0,24443949064.0,1364916.44,0.8540028568356045,5.763420592566287,4.9219776511967614,5.583862232842689,ULCC Pivot
2019,Total,1365673.4200000002,2508349.39,24191529199.0,28103915678.0,1517175.77,0.8607885632797193,5.64525462101194,4.859370614569064,5.398449765445528,ULCC Pivot
2020,Total,632691.35,1250006.31,11434771444.0,16946207332.0,1229736.0300000003,0.674768768018517,5.5330476266929045,3.7335277304513506,7.256703555596509,COVID Impact
